subgroup,modeldate,startdate,enddate,pollster,samplesize,approve,disapprove
All polls,01/01/2020,1/20/2017,1/22/2017,Gallup,1500,45,45
All polls,01/01/2020,1/20/2017,1/22/2017,Morning Consult,1992,46,37
All polls,01/01/2020,1/20/2017,1/24/2017,Ipsos,1632,42.1,45.2
All polls,01/01/2020,1/21/2017,1/23/2017,Gallup,1500,45,46
All polls,01/01/2020,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,1500,57,43
All polls,01/01/2020,1/20/2017,1/25/2017,Quinnipiac University,1190,36,44
All polls,01/01/2020,1/21/2017,1/25/2017,Ipsos,1651,42.3,45.8
All polls,01/01/2020,1/22/2017,1/24/2017,Gallup,1500,46,45
All polls,01/01/2020,1/23/2017,1/25/2017,YouGov,2692,41,35
All polls,01/01/2020,1/23/2017,1/25/2017,Gallup,1500,46,45
All polls,01/01/2020,1/23/2017,1/24/2017,Public Policy Polling,1043,44,44
All polls,01/01/2020,1/22/2017,1/26/2017,Ipsos,1678,42.6,46.4
All polls,01/01/2020,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,1500,59,41
All polls,01/01/2020,1/23/2017,1/27/2017,Ipsos,1712,44.5,45.5
All polls,01/01/2020,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,1500,55,45
All polls,01/01/2020,1/24/2017,1/26/2017,Gallup,1500,45,48
All polls,01/01/2020,1/24/2017,1/28/2017,Ipsos,1684,45.4,46
All polls,01/01/2020,1/25/2017,1/27/2017,Gallup,1500,42,50
All polls,01/01/2020,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,1/26/2017,1/28/2017,Gallup,1500,42,51
All polls,01/01/2020,1/25/2017,1/29/2017,Ipsos,1630,48.2,45.1
All polls,01/01/2020,1/26/2017,1/28/2017,Morning Consult,1991,49,41
All polls,01/01/2020,1/26/2017,1/30/2017,Ipsos,2204,46.8,45.8
All polls,01/01/2020,1/26/2017,1/30/2017,SurveyMonkey,4444,48,50
All polls,01/01/2020,1/27/2017,1/29/2017,Gallup,1500,43,50
All polls,01/01/2020,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,1500,51,49
All polls,01/01/2020,1/28/2017,1/30/2017,Gallup,1500,43,51
All polls,01/01/2020,1/27/2017,1/31/2017,Ipsos,3153,45.3,46.9
All polls,01/01/2020,1/28/2017,1/31/2017,YouGov,1500,43,44
All polls,01/01/2020,1/29/2017,1/31/2017,Gallup,1500,43,52
All polls,01/01/2020,1/27/2017,02/02/2017,IBD/TIPP,885,42,48
All polls,01/01/2020,1/28/2017,02/01/2017,Ipsos,3141,45,47.9
All polls,01/01/2020,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,1/30/2017,02/01/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,1/29/2017,02/02/2017,Ipsos,3154,45.3,47.4
All polls,01/01/2020,1/30/2017,02/01/2017,Gallup,1500,43,52
All polls,01/01/2020,1/30/2017,1/31/2017,Public Policy Polling,725,47,49
All polls,01/01/2020,1/31/2017,02/02/2017,Rasmussen Reports/Pulse Opinion Research,1500,54,46
All polls,01/01/2020,1/31/2017,02/02/2017,Gallup,1500,43,52
All polls,01/01/2020,1/31/2017,02/02/2017,CNN/Opinion Research Corp.,1002,44,53
All polls,01/01/2020,1/30/2017,02/03/2017,Ipsos,3368,44.9,47.7
All polls,01/01/2020,1/31/2017,02/04/2017,Ipsos,2774,45.2,47.7
All polls,01/01/2020,02/01/2017,02/03/2017,Gallup,1500,44,50
All polls,01/01/2020,1/30/2017,02/05/2017,SurveyMonkey,9219,46,52
All polls,01/01/2020,02/01/2017,02/02/2017,CBS News,1019,40,48
All polls,01/01/2020,02/01/2017,02/05/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,02/02/2017,02/04/2017,Morning Consult,2123,48,43
All polls,01/01/2020,02/02/2017,02/04/2017,Gallup,1500,42,53
All polls,01/01/2020,02/02/2017,02/04/2017,Zogby Analytics,860,47,43
All polls,01/01/2020,02/01/2017,02/05/2017,Ipsos,1849,47.5,46.8
All polls,01/01/2020,02/02/2017,02/06/2017,Ipsos,1869,47.1,47.5
All polls,01/01/2020,02/03/2017,02/05/2017,Gallup,1500,42,52
All polls,01/01/2020,02/02/2017,02/06/2017,McLaughlin & Associates,1000,48,48
All polls,01/01/2020,02/02/2017,02/06/2017,Quinnipiac University,1155,42,51
All polls,01/01/2020,02/02/2017,02/06/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,02/04/2017,02/06/2017,Gallup,1500,42,54
All polls,01/01/2020,02/03/2017,02/07/2017,Ipsos,1900,47.5,47.6
All polls,01/01/2020,02/05/2017,02/07/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,02/05/2017,02/07/2017,Gallup,1500,43,52
All polls,01/01/2020,02/05/2017,02/07/2017,YouGov,1500,41,48
All polls,01/01/2020,02/04/2017,02/08/2017,Ipsos,1718,47.5,47.6
All polls,01/01/2020,02/05/2017,02/06/2017,Emerson College,617,48.1,47.2
All polls,01/01/2020,02/05/2017,02/09/2017,Ipsos,1756,47.8,46.4
All polls,01/01/2020,02/06/2017,02/08/2017,Gallup,1500,43,52
All polls,01/01/2020,02/06/2017,02/08/2017,Rasmussen Reports/Pulse Opinion Research,1500,53,47
All polls,01/01/2020,02/07/2017,02/09/2017,Rasmussen Reports/Pulse Opinion Research,1500,52,48
